name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Fairfax, VA 22030",2023-01-01T14:00:00,63.3,63.3,42.9,47.37,0,0,,0,0,6.9,3.4,231,1015.6,48.2,9.9,118,0.4,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-01T15:00:00,63.2,63.2,41.8,45.57,0,0,,0,0,5.8,2.7,360,1015,0,9.9,38,0.1,0,10,Clear,clear-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-01T16:00:00,61.5,61.5,42,48.6,0,0,,0,0,4.7,4.9,300,1015.3,27,9.9,16,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-01T17:00:00,54.5,54.5,42.3,63.38,0,0,,0,0,2.2,3.1,247,1015.8,27,9.9,9,0,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-01T18:00:00,46.8,46.8,41.8,82.8,0,0,,0,0,2.2,2.9,153,1016.5,15,9.9,0,,0,10,Clear,clear-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-01T19:00:00,45.5,45.5,40.7,83.24,0,0,,0,0,3.4,0,0,1016.8,15,9.9,0,,0,10,Clear,clear-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-01T20:00:00,44.6,44.6,40.4,85.05,0,0,,0,0,3.4,0,0,1017.5,33.6,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-01T21:00:00,43.8,43.8,40.2,86.91,0,0,,0,0,3.4,0,0,1017.8,94.1,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-01T22:00:00,43,43,40.2,89.87,0,0,,0,0,3.4,0,0,1017.7,15,9.9,0,,0,10,Clear,clear-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-01T23:00:00,41,41,39.2,93.42,0,0,,0,0,3.4,0,0,1018,60.8,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T00:00:00,41.1,41.1,39.2,92.7,0,0,,0,0,2.2,0,0,1018.2,48.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T01:00:00,38.3,38.3,37.3,96.25,0,0,,0,0,2.2,0,0,1018,48.2,8.3,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T02:00:00,38.3,38.3,37.4,96.25,0,0,,0,0,2.2,0,0,1018.3,48.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T03:00:00,37.6,37.6,36.4,95.67,0,0,,0,0,2.2,0,0,1019.1,69.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T04:00:00,39.2,39.2,37.7,94.37,0,0,,0,0,2.2,1.5,321,1019.3,69.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T05:00:00,38,38,36.6,94.42,0,0,,0,0,2.2,1.8,353,1019.4,54.7,9.6,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T06:00:00,38.2,38.2,36.8,94.43,0,0,,0,0,2.2,0,0,1020.1,33.6,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T07:00:00,37,37,35.9,95.66,0,0,,0,0,2.2,1.8,247,1020.6,54.7,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T08:00:00,37.5,37.5,36.5,96.24,0,0,,0,0,1.1,1.8,127,1021,27,9.9,13,0,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T09:00:00,43.7,42.4,41.3,91.19,0,0,,0,0,2.2,3.1,127,1021.4,15,9.9,45,0.2,0,10,Clear,clear-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T10:00:00,51.4,51.4,44.3,76.6,0,0,,0,0,2.2,3.7,127,1021.2,26.1,9.9,110,0.4,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T11:00:00,59.1,59.1,45.8,61.3,0,0,,0,0,3.4,4.8,305,1021.3,48.2,9.9,56,0.2,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T12:00:00,61.8,61.8,46,56,0,0,,0,0,6.9,6.9,201,1020.6,76.2,9.9,107,0.4,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T13:00:00,62.4,62.4,47,57.21,0,0,,0,0,8.1,3.8,217,1020.3,97.4,9.9,93,0.3,1,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T14:00:00,63.7,63.7,47.2,54.86,0,0,,0,0,8.1,4.7,182,1019.5,97.4,9.9,97,0.3,1,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T15:00:00,63.8,63.8,46.7,53.87,0,0,,0,0,9.2,6.8,166,1018.8,91.5,9.9,55,0.2,1,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T16:00:00,62.6,62.6,47,56.73,0,0,,0,0,8.1,5.6,156,1018.7,60.1,9.9,25,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T17:00:00,60,60,47.1,62.37,0,0,,0,0,5.8,3.9,144,1018.8,70.3,9.9,10,0,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-02T18:00:00,57.8,57.8,47,67.2,0,0,,0,0,5.8,3.9,144,1019,94.1,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T19:00:00,57.5,57.5,46.8,67.21,0,0,,0,0,5.8,3.9,147,1019.2,94.1,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T20:00:00,56.1,56.1,46.7,70.62,0,0,,0,0,6.9,1.8,113,1019.2,94.1,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T21:00:00,52.8,52.8,46.5,79.2,0,0,,0,0,6.9,1.8,91,1019.1,72,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T22:00:00,50.8,50.8,46,83.57,0,0,,0,0,6.9,0,0,1019,69.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-02T23:00:00,50.2,50.2,45.9,85.12,0,0,,0,0,6.9,1.8,127,1018.8,48.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T00:00:00,51.2,51.2,47.1,85.72,0,0,,0,0,5.8,2.9,213,1018.5,70.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T01:00:00,53.2,53.2,48.4,83.96,0,0,,0,0,5.8,3.8,153,1017.7,97.4,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T02:00:00,54.4,54.4,49.8,84.44,0,0,,0,0,6.9,4.4,194,1018,98.7,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KHEF"
"Fairfax, VA 22030",2023-01-03T03:00:00,52.1,52.1,48.2,86.49,0,0,,0,0,6.9,0,0,1018.2,100,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KHEF"
"Fairfax, VA 22030",2023-01-03T04:00:00,52.7,52.7,49.6,89.13,0,0,,0,0,6.9,3.3,219,1017.5,89.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T05:00:00,51.4,51.4,48.7,90.34,0,0,,0,0,6.9,2.6,111,1016.5,70.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T06:00:00,52.3,52.3,49.8,91.05,0,0,,0,0,8.1,1,299,1016.4,76.9,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T07:00:00,52.3,52.3,50.4,93.15,0,0,,0,0,9.2,4.4,213,1015.9,69.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T08:00:00,53.2,53.2,51.7,94.86,0,0,,0,0,11.4,4.8,216,1015.7,88.9,9.9,18,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T09:00:00,55.5,55.5,53,91.15,0,0,,0,0,15,6.8,194,1015.5,100,9.9,31,0.1,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T10:00:00,57.8,57.8,54.7,89.16,0,0,,0,0,17.2,8.6,202,1015.3,91.7,9.9,50,0.2,1,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547"
"Fairfax, VA 22030",2023-01-03T11:00:00,59.2,59.2,55.5,87.43,0,0,,0,0,19.5,6.5,241,1015.5,82.8,9.9,36,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T12:00:00,59.5,59.5,55.3,86.15,0,0,,0,0,21.9,7.5,180,1014.4,65.1,9.9,94,0.3,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T13:00:00,63.9,63.9,56.1,75.73,0,0,,0,0,20.8,10.8,190,1012.9,72.1,9.9,75,0.3,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T14:00:00,65.3,65.3,56.1,72.32,0,0,,0,0,24.2,11.6,200,1011.7,73.8,9.9,115,0.4,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T15:00:00,67.6,67.6,56.2,66.84,0,0,,0,0,24.2,12.9,203,1010.6,48.2,9.9,56,0.2,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T16:00:00,68.2,68.2,56.3,65.72,0,0,,0,0,21.6,12.6,203,1010.3,54.1,9.9,35,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T17:00:00,68.1,68.1,56.4,66.34,0,0,,0,0,28.9,15.4,198,1010,69.3,9.9,13,0,0,5,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-03T18:00:00,66.9,66.9,57,70.64,0,0,,0,0,23,12.7,195,1010.3,48.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T19:00:00,66.4,66.4,56.6,70.75,0,0,,0,0,25.3,11,193,1010.4,73,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T20:00:00,66.3,66.3,56.2,69.87,0,0,,0,0,28.2,12.8,195,1010.2,65.8,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T21:00:00,65.7,65.7,56.5,72.34,0,0,,0,0,28,10.9,188,1010.2,73.8,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T22:00:00,65.5,65.5,55.1,69.06,0,0,,0,0,27.2,13.4,180,1008.5,66.7,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-03T23:00:00,65.1,65.1,54.7,69.05,0,0,,0,0,23.9,13.2,197,1009.1,54.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T00:00:00,65,65,55.9,72.38,0,0,,0,0,24.2,9.5,210,1010,54.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T01:00:00,64.5,64.5,56,73.9,0,0,,0,0,20.8,11.5,212,1010.3,54.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T02:00:00,64,64,55.7,74.54,0,0,,0,0,16.1,5.8,213,1010.9,54.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T03:00:00,62.8,62.8,55.6,77.28,0,0,,0,0,15,2.9,245,1011.4,54.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T04:00:00,58.3,58.3,53.8,85,0,0,,0,0,13.9,2.3,249,1011.1,54.1,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T05:00:00,57.6,57.6,53.8,86.99,0,0,,0,0,11.4,2.5,240,1011.4,48.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T06:00:00,56,56,53.3,90.56,0,0,,0,0,10.3,3.9,148,1011.3,27,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T07:00:00,56.5,56.5,53.6,90.08,0,0,,0,0,10.3,3.7,120,1011.7,27,8.3,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T08:00:00,53,53,51.7,95.2,0,0,,0,0,11.4,0,0,1011.7,48.2,9.9,8,0,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T09:00:00,55.3,55.3,53.9,94.78,0,0,,0,0,13.9,1.8,91,1011.8,54.1,9.9,39,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T10:00:00,59.1,59.1,55.2,86.88,0,0,,0,0,15,4.8,216,1012.9,48.2,9.9,64,0.2,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T11:00:00,62.8,62.8,56.2,79.1,0,0,,0,0,15,9.2,192,1012.2,66.7,9.9,99,0.4,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T12:00:00,63.4,63.4,56.6,78.5,0,0,,0,0,15,9.7,193,1010.9,68.1,9.9,94,0.3,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T13:00:00,64.2,64.2,57.9,79.96,0,0,,0,0,15,7.8,180,1009.7,91.5,9.9,84,0.3,1,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T14:00:00,64.7,64.7,57.9,78.61,0,0,,0,0,19.7,10.4,175,1009,97.4,9.9,28,0.1,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T15:00:00,63.8,63.8,58.4,82.59,0,0,,0,0,16.1,9.4,180,1008.8,97.6,9.9,38,0.1,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T16:00:00,63.5,63.5,58.3,83.16,0,0,,0,0,17.2,7,193,1008.6,60.2,9.9,19,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T17:00:00,62.3,62.3,58,85.68,0,0,,0,0,17.2,8.4,158,1008.1,48.2,9.9,1,0,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-04T18:00:00,62.3,62.3,58.5,87.14,0,0,,0,0,16.1,7.8,166,1008.3,76.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T19:00:00,62.2,62.2,58.5,87.41,0,0,,0,0,16.1,7.1,209,1008.3,97.4,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T20:00:00,62,62,58.6,88.49,0,0,,0,0,19.7,8.5,190,1008.6,97.4,9.9,0,,0,5,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T21:00:00,60.5,60.5,58,91.51,0,0,,0,0,16.1,7.5,222,1008.6,15,9.9,0,,0,5,Clear,clear-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T22:00:00,59.7,59.7,57.3,91.85,0,0,,0,0,15,6.9,227,1009.2,0,9.9,0,,0,10,Clear,clear-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-04T23:00:00,58.7,58.7,57.1,94.41,0,0,,0,0,13.9,6,268,1010.3,48.2,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-05T00:00:00,58.2,58.2,56.7,94.84,0,0,,0,0,10.3,2.6,85,1010.8,91.5,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-05T01:00:00,56.8,56.8,55.6,95.85,0,0,,0,0,10.3,1.8,84,1011,94.1,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-05T02:00:00,55.7,55.7,55.2,98.25,0,0,,0,0,10.3,1.1,69,1011.8,91.7,5.6,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-05T03:00:00,55.5,55.5,51.1,85.15,0,0,,0,0,10.3,0,0,1012.9,65.1,4.8,0,,0,10,Partially cloudy,partly-cloudy-night,"KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-05T04:00:00,51.3,51.3,48.8,91.09,0,0,,0,0,8.1,4.2,335,1013.1,53.7,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA"
"Fairfax, VA 22030",2023-01-05T05:00:00,48.4,48.4,45.8,90.58,0,0,,0,0,6.9,0,0,1013.2,79.8,5.7,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2023-01-05T06:00:00,47.5,47.5,44.6,89.45,0,0,,0,0,5.8,0,0,1013.3,78.8,7.5,0,,0,10,Partially cloudy,partly-cloudy-night,"72403603710,KIAD,72403093738,72403793728,KDAA"
"Fairfax, VA 22030",2023-01-05T07:00:00,46.8,46.8,44.4,91.3,0,0,,0,0,4.7,2,286,1014.1,90.5,7.3,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA"
"Fairfax, VA 22030",2023-01-05T08:00:00,44.9,44.9,42.3,90.68,0,0,,0,0,3.4,0,0,1014.5,54,8.1,13,0,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547"
"Fairfax, VA 22030",2023-01-05T09:00:00,47.3,47.3,45.1,92.23,0,0,,0,0,3.4,1.8,127,1014.9,91.7,9.9,24,0.1,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2023-01-05T10:00:00,53.3,53.3,49.1,85.53,0,0,,0,0,3.4,0,0,1015.3,74.4,9.9,47,0.2,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
